2026-02-18 16:54:34 | INFO     | src.models.train                    | Best model selected: LogisticRegression  (cv_f1=0.5109)
2026-02-18 16:54:34 | INFO     | src.models.evaluate                 | Evaluating model: model  [120 samples]
2026-02-18 16:54:34 | INFO     | src.models.evaluate                 | model results — accuracy=0.5583  precision=0.5543  recall=0.5583  f1=0.5553  roc_auc=0.5562
2026-02-18 16:54:34 | INFO     | src.models.registry                 | Model artifact saved ➜ /Users/eolaw/Desktop/ml-pipeline-deployment-system/models/model_v1.pkl
2026-02-18 16:54:34 | INFO     | src.models.registry                 | Metadata written ➜ /Users/eolaw/Desktop/ml-pipeline-deployment-system/models/metadata.json
2026-02-18 16:54:34 | INFO     | src.models.registry                 | Model registered — version=v1, name=LogisticRegression, test_f1=0.5553
2026-02-18 16:54:34 | INFO     | src.models.predict                  | Loading model artifacts …
2026-02-18 16:54:34 | INFO     | src.models.registry                 | Model loaded ← /Users/eolaw/Desktop/ml-pipeline-deployment-system/models/model_v1.pkl
2026-02-18 16:54:34 | INFO     | src.data.preprocessing              | Preprocessor loaded ← /Users/eolaw/Desktop/ml-pipeline-deployment-system/models/preprocessor_v1.pkl
2026-02-18 16:54:34 | INFO     | src.models.predict                  | Predictor ready.
2026-02-18 16:54:34 | INFO     | src.monitoring.performance          | Inference — prediction=0  probability=0.3906  latency=4.51ms  total_requests=1
2026-02-18 16:54:34 | INFO     | src.models.predict                  | Loading model artifacts …
2026-02-18 16:54:34 | INFO     | src.models.registry                 | Model loaded ← /Users/eolaw/Desktop/ml-pipeline-deployment-system/models/model_v1.pkl
2026-02-18 16:54:34 | INFO     | src.data.preprocessing              | Preprocessor loaded ← /Users/eolaw/Desktop/ml-pipeline-deployment-system/models/preprocessor_v1.pkl
2026-02-18 16:54:34 | INFO     | src.models.predict                  | Predictor ready.
2026-02-18 16:54:34 | INFO     | src.monitoring.performance          | Inference — prediction=0  probability=0.3906  latency=2.78ms  total_requests=2
2026-02-18 16:54:34 | INFO     | src.models.predict                  | Loading model artifacts …
2026-02-18 16:54:34 | INFO     | src.models.registry                 | Model loaded ← /Users/eolaw/Desktop/ml-pipeline-deployment-system/models/model_v1.pkl
2026-02-18 16:54:34 | INFO     | src.data.preprocessing              | Preprocessor loaded ← /Users/eolaw/Desktop/ml-pipeline-deployment-system/models/preprocessor_v1.pkl
2026-02-18 16:54:34 | INFO     | src.models.predict                  | Predictor ready.
2026-02-18 16:54:34 | INFO     | src.monitoring.performance          | Inference — prediction=0  probability=0.3906  latency=2.99ms  total_requests=3
2026-02-18 16:54:34 | INFO     | src.models.predict                  | Loading model artifacts …
2026-02-18 16:54:34 | INFO     | src.models.registry                 | Model loaded ← /Users/eolaw/Desktop/ml-pipeline-deployment-system/models/model_v1.pkl
2026-02-18 16:54:34 | INFO     | src.data.preprocessing              | Preprocessor loaded ← /Users/eolaw/Desktop/ml-pipeline-deployment-system/models/preprocessor_v1.pkl
2026-02-18 16:54:34 | INFO     | src.models.predict                  | Predictor ready.
2026-02-18 16:54:34 | INFO     | src.monitoring.performance          | Inference — prediction=0  probability=0.3906  latency=2.67ms  total_requests=4
2026-02-18 16:54:34 | INFO     | src.models.predict                  | Loading model artifacts …
2026-02-18 16:54:34 | INFO     | src.models.registry                 | Model loaded ← /Users/eolaw/Desktop/ml-pipeline-deployment-system/models/model_v1.pkl
2026-02-18 16:54:34 | INFO     | src.data.preprocessing              | Preprocessor loaded ← /Users/eolaw/Desktop/ml-pipeline-deployment-system/models/preprocessor_v1.pkl
2026-02-18 16:54:34 | INFO     | src.models.predict                  | Predictor ready.
2026-02-18 16:54:34 | INFO     | src.monitoring.performance          | Inference — prediction=0  probability=0.3906  latency=3.42ms  total_requests=5
2026-02-18 16:54:34 | WARNING  | src.monitoring.performance          | DRIFT ALERT: positive_rate shifted by 30.00% (current=0.00%, reference=30.00%)
2026-02-18 16:54:34 | WARNING  | src.monitoring.performance          | DRIFT ALERT: positive_rate shifted by 30.00% (current=0.00%, reference=30.00%)
2026-02-18 16:54:34 | INFO     | src.models.predict                  | Loading model artifacts …
2026-02-18 16:54:34 | INFO     | src.models.registry                 | Model loaded ← /Users/eolaw/Desktop/ml-pipeline-deployment-system/models/model_v1.pkl
2026-02-18 16:54:34 | INFO     | src.data.preprocessing              | Preprocessor loaded ← /Users/eolaw/Desktop/ml-pipeline-deployment-system/models/preprocessor_v1.pkl
